"08-001145","Motion Pro Rev 2 Throttle Boot Replacement 'MP Logo'","In Stock","20.25","32.95"
"08-005033","Motion Pro T3 Cable CRF450R Clutch Cable Bracket","In Stock","27.45","43.95"
"08-010000","Motion Pro Cable Throttle Nipple Balls-7/32 1.5mm","Out of Stock, ETA: 15/07/26","26.00","41.60"
"08-010001","Motion Pro Cable Throttle Nipples-Carb End 1.5mm","In Stock","11.55","18.45"
"08-010002","Motion Pro Cable Barrel Nipples-Carb End 3.8 2.0mm","In Stock","62.15","99.40"
"08-010003","Motion Pro Cable Barrel Nipples- 5/16 2.0mm","In Stock","41.90","67.05"
"08-010004","Motion Pro Cable Housing Ends 6mm for 5mm Housing","In Stock","8.75","14.95"
"08-010005","Motion Pro Cable Housing Ends 7mm for 6mm Housing","In Stock","8.75","14.95"
"08-010006","Motion Pro Cable Housing Ends 8mm for 7mm Housing","In Stock","8.75","14.95"
"08-010007","Motion Pro Cable Pear Nipple (Clutch Lower) 2.0mm","In Stock","27.45","43.90"
"08-010008","Motion Pro Cable Pear Nipple (Clutch Lower) 2.5mm","In Stock","28.90","46.20"
"08-010009","Motion Pro Cable Barrel Nipples 5/16 2.5mm","In Stock","43.35","69.35"
"08-010010","Motion Pro Cable Barrel 6x10 1.5mm Wire","In Stock","23.10","37.00"
"08-010011","Motion Pro Cable Barrel 6x7mm 1.5mm Wire (10pk)","In Stock","21.65","34.70"
"08-010012","Motion Pro Cable Throttle Nipples Carb End 1.5mm","Out of Stock, ETA: 15/07/26","14.45","23.10"
"08-010013","MP - Fitting, Cable Pk/10","Out of Stock, ETA: TBA","34.05","54.95"
"08-010013S","MP - Fitting (Single) (Cbl)","In Stock","4.35","6.95"
"08-010014","MP Cable Angle Screw - Mukuni Carb Top","In Stock","63.60","101.75"
"08-010015","MP - Fitting, Cable Pk/10, Mid Adjuster","Out of Stock","67.90","108.70"
"08-010018","Motion Pro Fitting, Cable EA.","In Stock","10.95","16.95"
"08-010023","Motion Pro Carb Cap for Mikuni VM34/27","In Stock","24.60","39.95"
"08-010024","Motion Pro Cable Adjuster Clutch/Brake 8mm Each (fits 08-010054)","In Stock","8.75","14.95"
"08-010025","MP - Fitting, Lever Adj 9mm","In Stock","8.65","13.80"
"08-010028","Motion Pro Cable Rubber Boot","Out of Stock, ETA: 15/07/26","2.85","4.60"
"08-010031","Motion Pro - Fitting sg-144 - Packet/10","In Stock","9.85","15.95"
"08-010033","MP - Carb Cap, M20X1.0 Thread, Nut-1344-1B+WA-267+WA-268B","Out of Stock, ETA: 15/07/26","15.35","24.95"
"08-010052","Motion Pro Throttle tube, Honda push-pull and 01-0058, 01-0059","In Stock","13.75","21.95"
"08-010055","Motion Pro Cable Fittings Kit","In Stock","317.15","471.00"
"08-010073","Motion Pro Throttle Assembly - Straight Push/Pull","Out of Stock, ETA: TBA","27.15","43.45"
"08-010079","Motion Pro Throttle tube, Honda/KTM/Husky/Husaberg/Gas Gas","In Stock","13.75","21.95"
"08-010080","Motion Pro Throttle tube, Honda/Kawasaki","In Stock","13.75","21.95"
"08-010081","Motion Pro Throttle tube, KTM/Yamaha","In Stock","13.75","21.95"
"08-010082","Motion Pro Throttle tube, Kaw/Suz/Yam (for 01-0054)","In Stock","13.75","21.95"
"08-010083","Motion Pro Throttle tube, Kawasaki","In Stock","13.75","21.95"
"08-010084","Motion Pro Throttle tube, Suzuki","In Stock","13.75","21.95"
"08-010085","Motion Pro Throttle tube, Honda CR80R/CR85R","Out of Stock, ETA: TBA","13.75","21.95"
"08-010086","Motion Pro Throttle tube, Kawasaki/Suzuki","In Stock","13.75","21.95"
"08-010087","Motion Pro Throttle tube, Honda and for 08-010053 throttle","In Stock","13.75","21.95"
"08-010088","Motion Pro Throttle tube, Honda CR125/250/500 84 Only","In Stock","13.75","21.95"
"08-010089","Motion Pro Throttle tube, Replacement Tube for 01-2813 & 01-0057","In Stock","13.50","21.95"
"08-010091","Motion Pro Throttle tube, Yamaha YZ80/85","In Stock","13.75","21.95"
"08-010092","Motion Pro Throttle tube, Kawasaki KX","In Stock","13.75","21.95"
"08-010093","Motion Pro Throttle Tube, Suzuki","In Stock","13.75","21.95"
"08-010094","Motion Pro Throttle tube, Kaw/Suz/Yam","In Stock","13.75","21.95"
"08-010097","Motion Pro Throttle tube, Honda","In Stock","13.75","21.95"
"08-010098","Motion Pro Throttle tube, Beta/Husaberg/Huksy/KTM","In Stock","13.75","21.95"
"08-010100","Motion Pro Cable Inner Wire 1.5mm 7x7 100","In Stock","86.75","138.75"
"08-010101","Motion Pro Cable Inner Wire 2.0mm 1x19 100","In Stock","40.45","64.70"
"08-010102","Motion Pro Cable Inner Wire 2.5mm 1 x 19 100","In Stock","57.80","92.50"
"08-010103","Motion Pro Cable Housing Outer-Black 7mm 50 2.5mm","In Stock","86.05","137.70"
"08-010104","Motion Pro Cable Housing Outer - Black 5mm 50' 1.5mm","In Stock","50.55","80.90"
"08-010105","Motion Pro Cable Housing Outer-Black 6mm 50ft 2.0mm","In Stock","70.95","113.50"
"08-010107","Motion Pro Universal Speedo Cable Kits","In Stock","19.30","30.85"
"08-010112","Motion Pro Speedo Cable Kit 92","In Stock","35.90","57.40"
"08-010232","Motion Pro Twist Throttle Kit Cable - Yamaha","In Stock","52.00","83.20"
