Part No.,Description,Brand,Classification,Product Group,Category,Stock Available,RRP,Special RRP,Cassons Standard Price,Sell Price,UPC Code
"AF1130441","AFAM A41 520 XL600  [ONC01] #","AFAM","Motorcycle","Parts","MX - Sprockets","1","81.95","","49.67","34.77",""
"AF07141242","AFAM CHAIN SPROCKET KIT STEEL KTM RC 390 2022-2023","AFAM","Motorcycle","Parts","Chain & Sprocket Kit","4","230.95","196.95","140.30","140.30","5400598231575"
"AF01626202","AFAM CHAIN SPROCKET KIT STEEL KAWASAKI ZZR 250 1990-2003","AFAM","Motorcycle","Parts","Chain & Sprocket Kit","2","219.95","187.95","133.97","133.97","5400598039744"
"AF01215203","AFAM CHAIN SPROCKET KIT STEEL YAMAHA R15 V3 2021","AFAM","Motorcycle","Parts","Chain & Sprocket Kit","5","106.95","91.95","64.97","64.97","5400598228155"
"AFKIT101101","AFAM CHAIN SPROCKET KIT STEEL HONDA CB / CBR 500 MODELS 2019-2024","AFAM","Motorcycle","Parts","Chain & Sprocket Kit","3","221.95","189.95","135.10","135.10","5400598236624"
"AF01013110","AFAM CHAIN SPROCKET KIT STEEL HONDA MONKEY 125 2022-2024","AFAM","Motorcycle","Parts","Chain & Sprocket Kit","0","65.95","","40.05","40.05","5400598230219"
"AF08680200","AFAM CHAIN SPROCKET KIT STEEL TRIUMPH TIGER 800 2011-2014","AFAM","Motorcycle","Parts","Chain & Sprocket Kit","3","291.95","249.95","178.05","178.05","5400598051128"
"AFKIT109731","AFAM CHAIN SPROCKET KIT STEEL KTM 1290 SUPER DUKE 2014-2025","AFAM","Motorcycle","Parts","Chain & Sprocket Kit","1","309.95","265.95","188.97","188.97","5400598265440"
"AFKIT105991","AFAM CHAIN SPROCKET KIT STEEL KTM 1190 / 1290 ADVENTURE 2013-2020","AFAM","Motorcycle","Parts","Chain & Sprocket Kit","8","328.95","280.95","200.06","200.06","5400598249167"
"AFKIT105701","AFAM CHAIN SPROCKET KIT STEEL DUCATI 821 HYPERMOTARD 2013-2015","AFAM","Motorcycle","Parts","Chain & Sprocket Kit","4","448.95","383.95","273.29","273.29","5400598247965"
"AF01686206","AFAM CHAIN SPROCKET KIT STEEL KAWASAKI Z 900 2017-2023","AFAM","Motorcycle","Parts","Chain & Sprocket Kit","3","271.95","232.95","165.77","165.77","5400598041129"
"AF11212+48R","AFAM A48 520 PR-1 HONDA S/C RED  [ONC01] #","AFAM","Motorcycle","Parts","MX - Sprockets","10","99.95","","60.58","42.41","5414837090410"
"AF35808RLK44","AFAM S44 520 RLK LITE STEEL RSV4  [ONC01] #","AFAM","Motorcycle","Parts","Road - Sprockets","1","99.95","","60.58","42.41","5414837164043"
"AF15203+50BU","AFAM A50 520 PR-1 S/C BLUE  [ONC01] #","AFAM","Motorcycle","Parts","MX - Sprockets","6","99.95","","60.58","42.41",""
"AF2160115","AFAM 15T 520 KAWASAKI ZX-6  [ONC01] #","AFAM","Motorcycle","Parts","Road - Sprockets","4","29.95","","18.18","12.73","5414837008934"
"AF11104+54","AFAM A54 420 HONDA CR80/85 [ONC01] #","AFAM","Motorcycle","Parts","MX - Sprockets","1","64.95","","39.36","27.55",""
"AF5060240","AFAM S40 520 CONV DUC 851/900SS  [ONC01] #","AFAM","Motorcycle","Parts","Road - Sprockets","1","69.95","","42.32","29.62","5414837027522"
"AF9360536","AFAM A36 520 BIMOTA  [ONC01] #","AFAM","Motorcycle","Parts","Road - Sprockets","1","14.95","","10.53","7.37",""
"AF4330413","AFAM 13T 520 SHERCO 2T","AFAM","Motorcycle","Parts","MX - Sprockets","17","44.95","38.95","27.24","27.24","5414837155614"
"AF5290116","AFAM 16T 525 DUC PANIGALE V4  [ONC01] #","AFAM","Motorcycle","Parts","Road - Sprockets","6","49.95","","30.27","21.19","5414837162896"
"AF13323+49","AFAM A49 520 TR-1 YAMAHA S/C GREY  [ONC01] #","AFAM","Motorcycle","Parts","MX - Sprockets","49","99.95","","60.58","42.41","5414837165937"
"AF17104+51","AFAM A51 420 KAW KX80-85 86-   [ONC01] #","AFAM","Motorcycle","Parts","MX - Sprockets","4","69.95","","42.39","29.67","5414837067085"
"AF10212SLK+49","AFAM 49T SLK SLITE STEEL HONDA","AFAM","Motorcycle","Parts","MX - Sprockets","17","99.95","84.95","60.58","60.58","5414837144472"
"AF2820012","AFAM 12T 428 YZ80 86- + RM80 89-  [ONC01] #","AFAM","Motorcycle","Parts","MX - Sprockets","3","16.95","","10.26","7.18","5414837011675"
"AF30100A12","AFAM 12T 420 KX60-80 86-  [ONC01] #","AFAM","Motorcycle","Parts","MX - Sprockets","4","27.95","","16.94","11.86","5414837012016"
"AF5261214","AFAM 14T 520 DUCATI  [ONC01] #","AFAM","Motorcycle","Parts","Road - Sprockets","2","59.95","","36.33","25.43","5414837013198"
"AF2061015","AFAM 15T RC45 94-96 520 CONV  [ONC01] #","AFAM","Motorcycle","Parts","Road - Sprockets","1","37.95","","23.00","16.10",""
"AF15203+49BU","AFAM A49 520 SUZUKI S/C BLUE  [ONC01] #","AFAM","Motorcycle","Parts","MX - Sprockets","4","75.00","","45.45","31.82",""
"AF5060242","AFAM S42 520 CONV. DUC 851/900SS  [ONC01] #","AFAM","Motorcycle","Parts","Road - Sprockets","5","69.95","","42.32","29.62","5414837027546"
"AF16680017","AFAM 17T 525 BMW S1000R  [ONC01] #","AFAM","Motorcycle","Parts","Road - Sprockets","4","39.95","","24.21","16.95","5414837127703"
"AF9412411","AFAM 11T 415 KTM  [ONC01] #","AFAM","Motorcycle","Parts","MX - Sprockets","7","19.95","","12.09","8.46","5414837143925"
"AF9412013","AFAM 13T 420 KTM 60-65 SX 99  [ONC01] #","AFAM","Motorcycle","Parts","MX - Sprockets","17","19.95","","12.09","8.46","5414837015765"
"AF2061315","AFAM 15T CBR600 99- 520 CONV  [ONC01] #","AFAM","Motorcycle","Parts","Road - Sprockets","1","44.95","","27.24","19.07","5414837007715"
"AF9360539","AFAM A39 520 BIMOTA  [ONC01] #","AFAM","Motorcycle","Parts","Road - Sprockets","2","89.25","","54.09","37.86",""
"AF72101+48","AFAM A48 420 KTM 60-65 SX 99- SC  [ONC01] #","AFAM","Motorcycle","Parts","MX - Sprockets","7","69.95","","42.39","29.67","5414837067689"
"AF2490017","AFAM 17T 530 KAW ZRX1100  [ONC01] #","AFAM","Motorcycle","Parts","Road - Sprockets","3","37.95","","23.00","16.10","5414837011378"
